md4c 0.4.8-1
mdadm 4.1-2
media-player-info 24-2
mercurial 5.9.2-1
mesa 21.2.4-1
mesa-demos 8.4.0-4
metis 5.1.0.p10-2
minikube 1.23.1-1
miniupnpc 2.2.2-1
minizip 1:1.2.11-4
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mono 6.12.0.122-1
mono-msbuild 16.10.1.xamarinxplat.2021.05.26.14.00-1
mpfr 4.1.0.p13-1
mpv 1:0.33.1-3
mtdev 1.1.6-1
mujs 1.1.3-1
mypaint-brushes1 1.3.1-1
nano 5.9-1
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.32.1-1
net-tools 2.10-1
netpbm 10.73.36-1
nettle 3.7.3-1
ninja 1.10.2-1
node-gyp 8.2.0-1
nodejs 16.11.1-1
nodejs-nopt 5.0.0-2
noto-fonts 20201226-2
noto-fonts-emoji 20210625-1
npm 8.1.0-1
npth 1.6-3
nspr 4.32-1
nss 3.71-1
ntp 4.2.8.p15-1
numactl 2.0.14-1
nvidia 470.74-10
nvidia-utils 470.74-1
obs-studio 27.1.3-1
okular 21.08.2-1
oniguruma 6.9.7.1-1
openal 1.21.1-1
opencore-amr 0.1.5-5
openexr 3.1.2-1
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openssh 8.8p1-1
openssl 1.1.1.l-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.4-1
optipng 0.7.7-2
opus 1.3.1-2
opusfile 0.12-1
orc 0.4.32-1
os-prober 1.79-1
oxygen 5.23.1-1
oxygen-icons 1:5.87.0-1
p11-kit 0.24.0-2
p7zip 1:17.04-3
pacman 6.0.1-2
pacman-contrib 1.4.0-4
pacman-mirrorlist 20210822-1
pahole 1.22-1
pam 1.5.2-1
pambase 20210605-2
pango 1:1.48.10-1
pangomm 2.46.1-2
parted 3.4-2
patch 2.7.6-8
patchelf 0.13-1
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
pdftk 3.3.1-1
perl 5.34.0-2
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.12-1
perl-http-date 6.05-4
perl-http-message 6.33-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-libwww 6.57-1
perl-lwp-mediatypes 6.02-9
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
phonon-qt5 4.11.1-2
phonon-qt5-vlc 0.11.3-1
picom 8.2-1
pinentry 1.1.1-1
pipewire 1:0.3.39-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-2
pkgconf 1.8.0-1
plantuml 1.2021.9-1
plasma-framework 5.87.0-1
playerctl 2.4.1-1
podofo 0.9.7-1
polkit 0.120-2
polkit-qt5 0.114.0-1
poppler 21.10.0-1
poppler-data 0.4.11-1
poppler-glib 21.10.0-1
poppler-qt5 21.10.0-1
popt 1.18-1
portsmf 234-2
postgresql 13.4-1
postgresql-libs 13.4-1
postgresql-old-upgrade 12.8-1
powerline-common 2.8.2-2
powerline-fonts 2.8.2-2
pritunl-client-electron 1.2.2943.11-1
procps-ng 3.3.17-1
protobuf 3.17.3-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
purpose 5.87.0-1
python 3.9.7-2
python-anyio 3.3.4-1
python-anytree 2.8.0-3
python-appdirs 1.4.4-3
python-apsw 3.36.0-1
python-argon2_cffi 21.1.0-1
python-asn1crypto 1.4.0-3
python-async_generator 1.10-5
python-attrs 21.2.0-1
python-babel 2.9.1-1
python-backcall 0.2.0-4
python-bcrypt 3.2.0-3
python-beaker 1.11.0-6
python-beautifulsoup4 4.9.3-4
python-bleach 4.1.0-1
python-botocore 1.21.49-1
python-cachecontrol 0.12.6-3
python-cached-property 1.5.2-3
python-cairo 1.20.1-1
python-cchardet 2.1.7-2
python-cffi 1.14.6-2
python-chardet 4.0.0-2
python-click 8.0.3-1
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 35.0.0-1
python-css-parser 1.0.6-3
python-cssselect 1.1.0-7
python-dateutil 2.8.2-1
python-debugpy 1.5.1-1
python-decorator 5.1.0-1
python-defusedxml 0.7.1-2
python-deprecation 2.1.0-3
python-distlib 0.3.3-1
python-distro 1.6.0-1
python-dnspython 1:2.1.0-1
python-docker 5.0.3-1
python-docker-pycreds 0.4.0-7
python-dockerpty 0.4.1-8
python-docopt 0.6.2-9
python-docutils 0.17.1-1
python-dotenv 0.19.1-1
python-entrypoints 0.3-6
python-feedparser 6.0.1-2
python-gobject 3.40.1-2
python-html2text 2020.1.16-3
python-html5-parser 0.4.9-5
python-html5lib 1.1-6
python-idna 3.2-1
python-ifaddr 0.1.7-3
python-imagesize 1.2.0-4
python-importlib-metadata 4.8.1-1
python-ipykernel 6.4.1-1
python-ipywidgets 7.6.3-2
python-jedi 0.18.0-2
python-jeepney 0.7.1-1
python-jinja 3.0.2-1
python-jmespath 0.10.0-3
python-json5 0.9.6-1
python-jsonschema 3.2.0-4
python-jupyter_client 6.1.12-1
python-jupyter_core 4.8.1-1
python-jupyter_packaging 0.11.0-1
python-jupyterlab_server 2.8.2-1
python-lxml 4.6.3-1
python-mako 1.1.5-1
python-markdown 3.3.4-1
python-markupsafe 2.0.1-1
python-matplotlib-inline 0.1.2-1
python-mechanize 1:0.4.6-1
python-mistune 0.8.4-6
python-more-itertools 8.10.0-1
python-msgpack 1.0.2-2
python-nest_asyncio 1.5.1-1
python-netifaces 0.11.0-1
python-ordered-set 4.0.2-3
python-packaging 20.9-2
python-pandocfilters 1.4.3-3
python-paramiko 2.7.2-3
python-parso 1:0.8.2-1
python-pep517 0.11.0-1
python-pexpect 4.8.0-3
python-pickleshare 0.7.5-6
python-pillow 8.4.0-1
python-pip 20.3.4-1
python-ply 3.11-7
python-progress 1.6-1
python-prometheus_client 0.11.0-1
python-prompt_toolkit 3.0.20-1
python-psutil 5.8.0-1
python-ptyprocess 0.7.0-1
python-py7zr 0.11.3-1
python-pychm 0.8.6-4
python-pycparser 2.20-3
python-pycryptodome 3.10.4-1
python-pygments 2.10.0-1
python-pynacl 1.4.0-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.5-1
python-pyqt5-sip 12.9.0-1
python-pyqt5-webengine 5.15.5-1
python-pyrsistent 0.18.0-1
python-pytz 2021.3-1
python-pyzmq 22.2.1-1
python-regex 2021.8.28-1
python-requests 2.26.0-1
python-requests-unixsocket 0.2.0-4
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-ruamel-yaml 0.17.16-1
python-ruamel.yaml.clib 0.2.6-1
python-s3transfer 0.5.0-1
python-send2trash 1.8.0-1
python-setuptools 1:57.4.0-2
python-sgmllib3k 1.0.0-2
python-six 1.16.0-1
python-sniffio 1.2.0-3
python-snowballstemmer 2.1.0-1
python-soupsieve 2.2.1-2
python-sphinx 4.2.0-1
python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-6
python-sphinxcontrib-devhelp 1.0.2-6
python-sphinxcontrib-htmlhelp 2.0.0-1
python-sphinxcontrib-jsmath 1.0.1-9
python-sphinxcontrib-qthelp 1.0.3-6
python-sphinxcontrib-serializinghtml 1.1.5-1
python-terminado 0.11.1-1
python-testpath 0.5.0-1
python-texttable 1.6.4-1
python-toml 0.10.2-3
python-tomli 1.2.1-1
python-tomlkit 0.7.2-1
python-tornado 6.1.0-3
python-traitlets 5.1.0-1
python-unrardll 0.1.4-5
python-urllib3 1.26.7-1
python-wcwidth 0.2.5-3
python-webencodings 0.5.1-6
python-websocket-client 0.59.0-1
python-wheel 0.37.0-1
python-yaml 5.4.1.1-2
python-zeroconf 0.36.8-1
python-zipp 3.6.0-1
python2 2.7.18-5
python2-appdirs 1.4.4-3
python2-backports 1.0-3
python2-backports.functools_lru_cache 1.6.4-1
python2-ordered-set 3.1.1-3
python2-packaging 20.9-2
python2-pyparsing 2.4.7-3
python2-setuptools 2:44.1.1-1
python2-six 1.16.0-1
qbittorrent 4.3.8-1
qemu 6.1.0-5
qemu-arch-extra 6.1.0-5
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r254-1
qt5-declarative 5.15.2+kde+r36-1
qt5-graphicaleffects 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-location 5.15.2-3
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2+kde+r8-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r13-1
qt5-tools 5.15.2+kde+r17-3
qt5-wayland 5.15.2+kde+r34-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.6-5
qt5-x11extras 5.15.2-1
qt5ct 1.5-1
raptor 2.0.15-16
rasqal 1:0.9.33-4
rav1e 0.4.1-1
re2 1:20210901-1
readline 8.1.001-1
redland 1:1.0.17-8
